end,start,abstract,title,presenter,biography,image,avatar,room
"2018-06-09T10:00:00Z,2018-06-09T10:15:00Z,Architech at Hexacta,Visual Studio App Center,Sebastian Rodulfo,,https://appcenter.ms/images/hero@2x.png,https://media.licdn.com/dms/image/C4D03AQGrMqZyn8uqWw/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=lhssmhqH_J2h2J10UJToQpnv4jTghQPZf3XvQ34V3N4,Avanzado"
"2018-06-09T11:45:00Z,2018-06-09T11:00:00Z,Nethereum creator and lead architech,Nethereum: Introducing Xamarin Dapps,Juan Blanco y Sebastián Pérez,,https://avatars3.githubusercontent.com/u/16318746?s=400&v=4,https://media.licdn.com/dms/image/C4D03AQFQdRG5GczTIw/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=mnx4jB4YKqN5RWd8FSong8KTmMBp3e9CnWtHQNt6Ki0,Avanzado"
"2018-06-09T12:45:00Z,2018-06-09T12:00:00Z,Software Architect Freelance,MvvmCross con Xamarin Forms,Roygar Briceño,,https://mobileprogrammerblog.files.wordpress.com/2017/06/ic_mvvm_cross_xamarin3.png,https://media.licdn.com/dms/image/C5603AQEnuADHrql4ug/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=-R7kcbR6_8ieT7WZRL1czpGrNcwHYWv_N0AwyY8_cUI,Avanzado"
"2018-06-09T14:45:00Z,2018-06-09T14:00:00Z,Software developer at Algeiba,Aplicaciones móviles en tiempo real utilizando Xamarin y SignalR,Florencia Nodar Diógenes Salazar y Alejandro Diaz,,https://raw.githubusercontent.com/nishanil/Xamarin.Forms-Samples/master/Screenshots/Hero-DataTemplateSelector.png,https://media.licdn.com/dms/image/C4D03AQFD8wrAkbVMIw/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=p-hKIqYnIXXAiNZn0RIoWRA7A9ORPpMfWRwbDY0Svmw,Avanzado"
"2018-06-09T15:30:00Z,2018-06-09T14:45:00Z,Nareia Partner,Por qué no F#?,Diego Bonilla,,https://3.bp.blogspot.com/-9_Wu4nC9A_o/WjVwibiuJLI/AAAAAAAANLI/3pYWgzf1-yQsFdd5PxGoScwjlZoFSckbgCLcBGAs/s1600/fsharp256.png,https://media.licdn.com/dms/image/C4E03AQHUXARSsRkpDQ/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=c1BqaDl0DmR_BanzGfsoVUfsItCH9Wpfo-WT6dVV7XQ,Avanzado"
"2018-06-09T16:45:00Z,2018-06-09T15:30:00Z,CTO at SailConnect,Building a startup with Xamarin: Lessons learnt building Foundbite,James Mundy,,https://d6rp199oz9kcs.cloudfront.net/dist/images/pages/index/platform-screenshot-wZReFwC4.png,https://media.licdn.com/dms/image/C4E03AQHZqJ4sWbSHcg/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=8xK4z-am_ESpnHXGFcmZ1jpkQnMKxXOxWE81pwESnBc,Avanzado"
"2018-06-09T17:00:00Z,2018-06-09T16:45:00Z,Varios,Panel de expertos,Speakers,,,,Avanzado"
"2018-06-09T11:00:00Z,2018-06-09T10:15:00Z,Cloud architech at CloudX,Xamarin 360º,German Kuber,,https://xamarinhelp.com/wp-content/uploads/2017/06/TraditionalvsForms.png,https://media.licdn.com/dms/image/C4D03AQFQtm-be8tPIA/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=z4bWHvzWKvyOakQq-lHmUdkZFmOJ7MLXElwIWvGvo-8,Iniciales"
"2018-06-09T11:45:00Z,2018-06-09T11:00:00Z,Software Developer at DGenix,Acelerando el desarrollo con Plugins,Federico Maccaroni,,https://www.rishabhsoft.com/wp-content/uploads/2016/04/Apps-using-xamarin-plugins-on-mobile-devices-e1460958438561.png,https://media.licdn.com/dms/image/C4E03AQF2gX2iGDfMMA/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=5JimTkYTer5Fk4sM_XNiNBYKNmBuZlvjnO_o9FO9Mv8,Iniciales"
"2018-06-09T16:15:00Z,2018-06-09T14:00:00Z,Software Engineer en SOUTHWORKS,Workshop - Desarrollando una aplicación,Esteban Yañez y Carolina Ardura,,https://raw.githubusercontent.com/nishanil/Dev-Days-HOL/master/01%20Dev-Labs/screenshots/DevDaysHol.png?token=AC9rtpBmFfQKj9epUgPmYpJ8IBqxXsgkks5X0l_BwA%3D%3D,https://media.licdn.com/dms/image/C4E03AQHbENW3DsdfDg/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=yDZVyiO0kE9ccvCKAmvV6C_eEi1Q425GaKSt9KTS6Yc,Iniciales"

