name,description,image,title,company,website,blog,twitter,email,avatar,webiste,titile,biography
James Mundy,"CTO at SailConnect",https://media.licdn.com/dms/image/C4E03AQHZqJ4sWbSHcg/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=8xK4z-am_ESpnHXGFcmZ1jpkQnMKxXOxWE81pwESnBc,CTO,SailConnect,,,,,,,
Juan Blanco,"Nethereum creator and lead architech",https://media.licdn.com/dms/image/C4D03AQFQdRG5GczTIw/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=mnx4jB4YKqN5RWd8FSong8KTmMBp3e9CnWtHQNt6Ki0,Architech,Nethereum,,,,,,,
Diego Bonilla,"Nareia Partner",https://media.licdn.com/dms/image/C4E03AQHUXARSsRkpDQ/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=c1BqaDl0DmR_BanzGfsoVUfsItCH9Wpfo-WT6dVV7XQ,Partner,Nareia,,,,,,,,
Roygar Briceño,"Software Architect Freelance",https://media.licdn.com/dms/image/C5603AQEnuADHrql4ug/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=-R7kcbR6_8ieT7WZRL1czpGrNcwHYWv_N0AwyY8_cUI,Software Architech,Freelance,,,,,,,,
Sebastian Rodulfo,"Architech at Hexacta",https://media.licdn.com/dms/image/C4D03AQGrMqZyn8uqWw/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=lhssmhqH_J2h2J10UJToQpnv4jTghQPZf3XvQ34V3N4,Architech,Hexacta,,,,,,,,
Carolina Ardura,"Software developer at Hexacta",https://media.licdn.com/dms/image/C5103AQE_ukW55i1mxQ/profile-displayphoto-shrink_200_200/0?e=1533772800&v=beta&t=loQ7k-11OMx3MufkMz2JWNAtAjriCrVvWmeEf6qb3Dw,Developer,Hexacta,,,,,,,,
Florencia Nodar,"Software developer at Algeiba",https://media.licdn.com/dms/image/C4D03AQFD8wrAkbVMIw/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=p-hKIqYnIXXAiNZn0RIoWRA7A9ORPpMfWRwbDY0Svmw,Developer,Algeiba,,,,,,,
Diogenes Salazar,"Software developer at Algeiba",https://media.licdn.com/dms/image/C4D03AQH7oNIYvbHyag/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=psF2tihKz1hvIFWCtVJkQGWy1tYPt-hT-HZp9k8-SJo,Software developer,Algeiba,,,,,,,,,
Alejandro Diaz,"Software developer at Algeiba",,Developer,Algeiba,,,,,,,,
Sebastian Leonardo Perez,""Developer at RSK Labs"",https://media.licdn.com/dms/image/C4E03AQGOlDJLJ3Xivg/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=hKtmbv6icoFAsTDwzXZvRnyPuF14LD4J-_e2Ljj8C68,Developer,RSK Labs ,,,,,,,,
Nicolas Milcoff,""Mobile lead at DGenix"",https://media.licdn.com/dms/image/C4E03AQGhcoGXW0nBNA/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=K4HfKuqvYFGd1etymIFi5PTbouUxqEaMG9wXyfZygf4,Mobile lead,DGenix,,,,,,,,
Esteban Yañez,"Software Engineer en SOUTHWORKS",https://media.licdn.com/dms/image/C4E03AQHbENW3DsdfDg/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=yDZVyiO0kE9ccvCKAmvV6C_eEi1Q425GaKSt9KTS6Yc,Software Engineer,SOUTHWORKS,,,,,,,,
German Kuber,"Cloud architech at CloudX",https://media.licdn.com/dms/image/C4D03AQFQtm-be8tPIA/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=z4bWHvzWKvyOakQq-lHmUdkZFmOJ7MLXElwIWvGvo-8,Architech,CloudX,,,,,,,,
Federico Maccaroni,"Software Developer at DGenix",https://media.licdn.com/dms/image/C4E03AQF2gX2iGDfMMA/profile-displayphoto-shrink_800_800/0?e=1533772800&v=beta&t=5JimTkYTer5Fk4sM_XNiNBYKNmBuZlvjnO_o9FO9Mv8,Software developer,DGenix,,,,,,,,

